[21:32:04] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:32:04] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:32:06] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:06] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:32:06] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:32:06] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:32:06] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:32:06] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:32:06] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:32:06] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:32:08] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:08] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:32:08] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:32:08] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:32:08] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:32:08] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:32:08] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:32:08] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:32:10] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:10] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:32:10] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:32:10] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:32:10] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:32:10] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:32:10] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:32:11] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:32:13] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:13] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:32:13] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:32:13] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:32:13] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:58782 | SVM=1 RF=1 | bytes=815
[21:32:13] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:32:13] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:32:13] Suspicious Traffic | src=127.0.0.1:58782 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:13] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:32:13] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:32:15] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:15] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:32:15] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:32:15] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:32:15] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:58782 | SVM=1 RF=1 | bytes=815
[21:32:15] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:32:15] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:32:15] Suspicious Traffic | src=127.0.0.1:58782 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:15] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:32:15] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:32:17] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:17] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:32:17] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:32:17] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:32:17] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:58782 | SVM=1 RF=1 | bytes=815
[21:32:17] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:32:17] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:32:17] Suspicious Traffic | src=127.0.0.1:58782 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:17] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:32:17] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:32:19] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:19] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:32:19] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:32:19] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:32:19] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:58782 | SVM=1 RF=1 | bytes=815
[21:32:19] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:32:19] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:32:19] Suspicious Traffic | src=127.0.0.1:58782 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:20] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:32:20] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:32:22] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:22] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:32:22] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:32:22] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:32:22] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:58782 | SVM=1 RF=1 | bytes=815
[21:32:22] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:32:22] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:32:22] Suspicious Traffic | src=127.0.0.1:58782 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:22] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:32:22] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:32:24] Suspicious Traffic | src=127.0.0.1:43604 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:24] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:32:24] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:32:24] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:43604 | SVM=1 RF=1 | bytes=815
[21:32:24] Suspicious Traffic | src=127.0.0.1:8845 dst=127.0.0.1:58782 | SVM=1 RF=1 | bytes=815
[21:32:24] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:32:24] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:32:24] Suspicious Traffic | src=127.0.0.1:58782 dst=127.0.0.1:8845 | SVM=1 RF=1 | bytes=78
[21:32:24] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:32:24] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
